User identifier,Product A,Product B
1003,Subscribed,Not subscribed
1007,Not subscribed,Subscribed
1011,Not subscribed,Not subscribed
1016,Not subscribed,Subscribed
1020,Not subscribed,Subscribed
1024,Subscribed,Not subscribed
1028,Subscribed,Subscribed
1032,Not subscribed,Not subscribed
1037,Not subscribed,Subscribed
1041,Not subscribed,Subscribed
1045,Not subscribed,Subscribed
1049,Not subscribed,Subscribed
1053,Subscribed,Subscribed
1058,Not subscribed,Not subscribed
1062,Subscribed,Subscribed
1066,Not subscribed,Subscribed
1070,Not subscribed,Subscribed
1074,Not subscribed,Not subscribed
1079,Not subscribed,Not subscribed
1083,Not subscribed,Subscribed
1087,Not subscribed,Not subscribed
1091,Not subscribed,Subscribed
1095,Not subscribed,Not subscribed
1100,Subscribed,Not subscribed
1104,Not subscribed,Subscribed
1108,Not subscribed,Subscribed
1112,Not subscribed,Subscribed
1116,Not subscribed,Not subscribed
1121,Subscribed,Not subscribed
1125,Not subscribed,Subscribed
1129,Subscribed,Subscribed
1133,Subscribed,Not subscribed
1142,Not subscribed,Subscribed
1146,Not subscribed,Not subscribed
1150,Not subscribed,Not subscribed
1154,Subscribed,Subscribed
1158,Not subscribed,Not subscribed
1163,Not subscribed,Not subscribed
1167,Subscribed,Subscribed
1171,Not subscribed,Not subscribed
1175,Subscribed,Subscribed
1179,Not subscribed,Not subscribed
1184,Not subscribed,Not subscribed
1188,Not subscribed,Subscribed
1192,Subscribed,Not subscribed
1196,Not subscribed,Not subscribed
1200,Not subscribed,Subscribed
1205,Subscribed,Subscribed
1209,Subscribed,Subscribed
1213,Not subscribed,Subscribed
1217,Not subscribed,Subscribed
1221,Not subscribed,Subscribed
1226,Not subscribed,Not subscribed
1230,Not subscribed,Not subscribed
1234,Not subscribed,Subscribed
1238,Not subscribed,Not subscribed
1242,Subscribed,Subscribed
1247,Not subscribed,Not subscribed
1251,Not subscribed,Subscribed
1255,Not subscribed,Subscribed
1259,Subscribed,Not subscribed
1263,Not subscribed,Subscribed
1276,Not subscribed,Subscribed
1280,Not subscribed,Not subscribed
1284,Not subscribed,Not subscribed
1289,Subscribed,Not subscribed
1293,Subscribed,Not subscribed
1297,Not subscribed,Not subscribed
1301,Subscribed,Not subscribed
1305,Not subscribed,Subscribed
1310,Not subscribed,Not subscribed
1314,Subscribed,Subscribed
1318,Not subscribed,Subscribed
1322,Not subscribed,Not subscribed
1326,Not subscribed,Not subscribed
1331,Not subscribed,Subscribed
1335,Subscribed,Subscribed
1339,Not subscribed,Subscribed
1343,Not subscribed,Subscribed
1347,Not subscribed,Not subscribed
1352,Not subscribed,Not subscribed
1356,Not subscribed,Subscribed
1360,Not subscribed,Subscribed
1364,Not subscribed,Not subscribed
1368,Not subscribed,Not subscribed
1373,Subscribed,Not subscribed
1377,Not subscribed,Subscribed
1381,Not subscribed,Subscribed
1385,Not subscribed,Subscribed
1389,Not subscribed,Subscribed
1394,Not subscribed,Subscribed
1398,Not subscribed,Not subscribed
1406,Not subscribed,Not subscribed
1410,Not subscribed,Subscribed
1415,Not subscribed,Subscribed
1419,Not subscribed,Subscribed
1423,Not subscribed,Subscribed
1427,Not subscribed,Not subscribed
1431,Not subscribed,Subscribed
1436,Subscribed,Subscribed
1440,Not subscribed,Not subscribed
1444,Not subscribed,Subscribed
1448,Not subscribed,Not subscribed
1452,Not subscribed,Subscribed
1457,Subscribed,Subscribed
1461,Subscribed,Subscribed
1465,Not subscribed,Not subscribed
1469,Subscribed,Not subscribed
1473,Subscribed,Subscribed
1478,Not subscribed,Subscribed
1482,Not subscribed,Not subscribed
1486,Subscribed,Not subscribed
1490,Not subscribed,Subscribed
1494,Subscribed,Subscribed
1499,Not subscribed,Not subscribed
1503,Subscribed,Subscribed
1507,Not subscribed,Not subscribed
1511,Not subscribed,Not subscribed
1515,Not subscribed,Subscribed
1520,Subscribed,Not subscribed
1524,Not subscribed,Subscribed
1528,Not subscribed,Not subscribed
1536,Not subscribed,Subscribed
1541,Not subscribed,Subscribed
1545,Not subscribed,Not subscribed
1549,Not subscribed,Subscribed
1553,Not subscribed,Not subscribed
1557,Not subscribed,Not subscribed
1562,Not subscribed,Not subscribed
1566,Not subscribed,Not subscribed
1570,Subscribed,Not subscribed
1574,Not subscribed,Not subscribed
1578,Not subscribed,Not subscribed
1583,Not subscribed,Subscribed
1587,Subscribed,Subscribed
1591,Subscribed,Not subscribed
1595,Not subscribed,Subscribed
1599,Not subscribed,Not subscribed
1604,Not subscribed,Subscribed
1608,Subscribed,Subscribed
1612,Subscribed,Not subscribed
1616,Not subscribed,Subscribed
1620,Not subscribed,Subscribed
1625,Not subscribed,Not subscribed
1629,Not subscribed,Not subscribed
1633,Not subscribed,Subscribed
1637,Not subscribed,Not subscribed
1641,Not subscribed,Not subscribed
1646,Subscribed,Not subscribed
1650,Not subscribed,Subscribed
1654,Subscribed,Subscribed
1658,Not subscribed,Not subscribed
1667,Subscribed,Subscribed
1671,Subscribed,Subscribed
1675,Not subscribed,Subscribed
1679,Subscribed,Subscribed
1683,Not subscribed,Not subscribed
1688,Not subscribed,Subscribed
1692,Not subscribed,Subscribed
1696,Not subscribed,Not subscribed
1700,Not subscribed,Subscribed
1704,Not subscribed,Not subscribed
1709,Not subscribed,Not subscribed
1713,Not subscribed,Subscribed
1717,Not subscribed,Subscribed
1721,Not subscribed,Subscribed
1725,Not subscribed,Not subscribed
1730,Subscribed,Subscribed
1734,Not subscribed,Subscribed
1738,Not subscribed,Subscribed
1742,Not subscribed,Not subscribed
1746,Not subscribed,Not subscribed
1751,Not subscribed,Subscribed
1755,Not subscribed,Subscribed
1759,Subscribed,Subscribed
1763,Subscribed,Not subscribed
1767,Not subscribed,Not subscribed
1772,Not subscribed,Not subscribed
1776,Not subscribed,Subscribed
1780,Subscribed,Subscribed
1784,Not subscribed,Not subscribed
1788,Not subscribed,Not subscribed
1797,Not subscribed,Not subscribed
1801,Not subscribed,Subscribed
1805,Not subscribed,Not subscribed
1809,Not subscribed,Not subscribed
1814,Not subscribed,Not subscribed
1818,Not subscribed,Not subscribed
1822,Not subscribed,Subscribed
1826,Not subscribed,Subscribed
1830,Not subscribed,Not subscribed
1835,Not subscribed,Not subscribed
1838,Not subscribed,Not subscribed
1840,Not subscribed,Not subscribed
1843,Not subscribed,Not subscribed
1846,Not subscribed,Not subscribed
1848,Subscribed,Not subscribed
1851,Not subscribed,Not subscribed
1854,Not subscribed,Subscribed
1856,Not subscribed,Not subscribed
1859,Not subscribed,Not subscribed
1861,Not subscribed,Not subscribed
1864,Not subscribed,Not subscribed
1867,Not subscribed,Subscribed
1869,Not subscribed,Subscribed
1872,Subscribed,Subscribed
1875,Not subscribed,Subscribed
1877,Subscribed,Not subscribed
1880,Not subscribed,Subscribed
1883,Not subscribed,Subscribed
1885,Not subscribed,Not subscribed
1888,Not subscribed,Not subscribed
1893,Not subscribed,Subscribed
1896,Not subscribed,Not subscribed
1898,Not subscribed,Not subscribed
1901,Not subscribed,Subscribed
1904,Not subscribed,Subscribed
1906,Not subscribed,Not subscribed
1909,Not subscribed,Not subscribed
1912,Not subscribed,Not subscribed
1914,Not subscribed,Not subscribed
1917,Not subscribed,Subscribed
1920,Not subscribed,Subscribed
1922,Subscribed,Subscribed
1925,Not subscribed,Not subscribed
1928,Not subscribed,Not subscribed
1930,Not subscribed,Subscribed
1933,Subscribed,Subscribed
1936,Not subscribed,Not subscribed
1938,Not subscribed,Subscribed
1941,Not subscribed,Not subscribed
1943,Not subscribed,Not subscribed
1946,Not subscribed,Subscribed
1949,Not subscribed,Subscribed
1951,Not subscribed,Not subscribed
1954,Subscribed,Not subscribed
1957,Subscribed,Not subscribed
1959,Not subscribed,Not subscribed
1962,Not subscribed,Subscribed
1965,Not subscribed,Not subscribed
1967,Subscribed,Not subscribed
1970,Not subscribed,Subscribed
1975,Not subscribed,Subscribed
1978,Subscribed,Not subscribed
1980,Not subscribed,Subscribed
1983,Not subscribed,Subscribed
1986,Not subscribed,Subscribed
1988,Not subscribed,Not subscribed
1991,Not subscribed,Not subscribed
1994,Not subscribed,Subscribed
1996,Not subscribed,Not subscribed
1999,Not subscribed,Subscribed
2002,Not subscribed,Subscribed
2004,Not subscribed,Subscribed
2007,Not subscribed,Subscribed
2010,Not subscribed,Subscribed
2012,Not subscribed,Not subscribed
2015,Not subscribed,Not subscribed
2018,Not subscribed,Not subscribed
2020,Subscribed,Not subscribed
2023,Subscribed,Not subscribed
2025,Not subscribed,Subscribed
2028,Not subscribed,Not subscribed
2031,Not subscribed,Not subscribed
2033,Not subscribed,Not subscribed
2036,Subscribed,Not subscribed
2039,Not subscribed,Subscribed
2041,Subscribed,Not subscribed
2044,Subscribed,Not subscribed
2047,Not subscribed,Subscribed
2049,Not subscribed,Subscribed
2052,Subscribed,Subscribed
2055,Not subscribed,Subscribed
2057,Not subscribed,Not subscribed
2060,Not subscribed,Not subscribed
2062,Subscribed,Not subscribed
2065,Subscribed,Subscribed
2068,Subscribed,Subscribed
2070,Not subscribed,Not subscribed
2073,Subscribed,Not subscribed
2076,Not subscribed,Not subscribed
2078,Not subscribed,Not subscribed
2081,Subscribed,Subscribed
2084,Not subscribed,Subscribed
2086,Not subscribed,Not subscribed
2089,Not subscribed,Subscribed
2092,Not subscribed,Subscribed
2094,Subscribed,Subscribed
2097,Not subscribed,Subscribed
2100,Not subscribed,Not subscribed
2102,Subscribed,Subscribed
2105,Not subscribed,Not subscribed
2107,Not subscribed,Subscribed
2110,Not subscribed,Subscribed
2113,Not subscribed,Not subscribed
2115,Not subscribed,Not subscribed
2118,Not subscribed,Not subscribed
2121,Not subscribed,Subscribed
2123,Not subscribed,Not subscribed
2126,Not subscribed,Not subscribed
2129,Subscribed,Not subscribed
2131,Subscribed,Subscribed
2137,Not subscribed,Subscribed
2139,Not subscribed,Subscribed
2142,Subscribed,Not subscribed
2144,Not subscribed,Not subscribed
2147,Not subscribed,Not subscribed
2150,Not subscribed,Not subscribed
2152,Not subscribed,Subscribed
2155,Not subscribed,Subscribed
2158,Subscribed,Not subscribed
2160,Not subscribed,Not subscribed
2163,Not subscribed,Subscribed
2166,Not subscribed,Subscribed
2168,Subscribed,Not subscribed
2171,Subscribed,Not subscribed
2174,Not subscribed,Subscribed
